geocode,commune,popdens10,poptot10,pophom10,popfem10,empl_eq1_08,empl_eq2_08,empl_eq3_08,pempl_eq1_08,pempl_eq2_08,pempl_eq3_08
6001,Birgisch,42.2,241,123,118,8,3,6,47.1,17.6,35.3
6002,Brig-Glis,331,12467,5991,6476,33,1242,5477,0.5,18.4,81.1
6004,Eggerberg,56.2,341,159,182,8,5,39,15.4,9.6,75.0
6006,Mund,13.1,528,271,257,18,4,22,40.9,9.1,50.0
6007,Naters,81.8,8277,4003,4274,63,536,788,4.5,38.6,56.8
6008,Ried-Brig,40.2,1910,970,940,40,70,124,17.1,29.9,53.0
6009,Simplon,3.58,326,155,171,24,58,60,16.9,40.8,42.3
6010,Termen,46.3,863,435,428,15,10,32,26.3,17.5,56.1
6011,Zwischbergen,0.93,80,47,33,2,15,43,3.3,25.0,71.7
6021,Ardon,131,2676,1334,1342,63,127,257,14.1,28.4,57.5
6022,Chamoson,94.5,3068,1505,1563,242,250,287,31.1,32.1,36.8
6023,Conthey,90.7,7708,3829,3879,208,566,1667,8.5,23.2,68.3
6024,Nendaz,69.7,5993,3036,2957,169,456,774,12.1,32.6,55.3
6025,Vétroz,457,4766,2360,2406,116,326,533,11.9,33.4,54.7
6031,Bagnes,27.4,7726,3939,3787,132,989,2075,4.1,30.9,64.9
6032,Bourg-St-Pierre,1.97,177,87,90,2,0,118,1.7,0.0,98.3
6033,Liddes,12.4,750,385,365,36,32,66,26.9,23.9,49.3
6034,Orsières,18.7,3077,1565,1512,81,302,443,9.8,36.6,53.6
6035,Sembrancher,48.8,862,439,423,20,128,96,8.2,52.5,39.3
6036,Vollèges,91.6,1631,825,806,46,130,132,14.9,42.2,42.9
6052,Bellwald,33,460,241,219,10,47,101,6.3,29.7,63.9
6054,Binn,2.18,142,73,69,7,6,26,17.9,15.4,66.7
6055,Blitzingen,6.34,75,37,38,7,3,19,24.1,10.3,65.5
6056,Ernen,15.2,539,265,274,23,32,87,16.2,22.5,61.3
6057,Fiesch,87.7,968,500,468,5,54,452,1.0,10.6,88.5
6058,Fieschertal,1.81,313,164,149,17,108,130,6.7,42.4,51.0
6061,Lax,53,287,143,144,9,26,47,11.0,31.7,57.3
6064,Niederwald,10.1,47,25,22,2,22,3,7.4,81.5,11.1
6073,Grafschaft,8.55,199,99,100,16,3,21,40.0,7.5,52.5
6074,Münster-Geschinen,10.5,510,248,262,20,54,135,9.6,25.8,64.6
6075,Reckingen-Gluringen,12,493,244,249,16,22,83,13.2,18.2,68.6
6076,Obergoms,4.57,712,371,341,40,80,206,12.3,24.5,63.2
6081,Les Agettes,65.1,328,163,165,6,4,8,33.3,22.2,44.4
6082,Ayent,65.4,3606,1806,1800,75,194,355,12.0,31.1,56.9
6083,Evolène,8.02,1683,838,845,88,96,228,21.4,23.3,55.3
6084,Hérémence,12.8,1379,676,703,24,182,117,7.4,56.3,36.2
6087,St-Martin,24.1,890,433,457,16,80,59,10.3,51.6,38.1
6089,Vex,121,1586,815,771,34,54,243,10.3,16.3,73.4
6090,Mont-Noble,20.5,891,415,476,16,22,73,14.4,19.8,65.8
6101,Agarn,103,789,403,386,12,90,80,6.6,49.5,44.0
6102,Albinen,17.9,278,135,143,7,10,38,12.7,18.2,69.1
6104,Ergisch,6.37,188,95,93,12,3,8,52.2,13.0,34.8
6105,Erschmatt,24.6,278,147,131,16,4,14,47.1,11.8,41.2
6109,Inden,11.4,111,52,59,13,6,8,48.1,22.2,29.6
6110,Leuk,77.1,3381,1686,1695,84,205,663,8.8,21.5,69.6
6111,Leukerbad,24.3,1633,825,808,13,54,1035,1.2,4.9,93.9
6112,Oberems,2.69,135,65,70,7,3,16,26.9,11.5,61.5
6113,Salgesch,120,1367,685,682,125,274,173,21.9,47.9,30.2
6114,Turtmann,24.5,1010,483,527,42,140,125,13.7,45.6,40.7
6115,Unterems,122,147,68,79,9,0,44,17.0,0.0,83.0
6116,Varen,48.7,624,305,319,62,13,43,52.5,11.0,36.4
6117,Guttet-Feschel,42.6,444,217,227,7,14,23,15.9,31.8,52.3
6118,Gampel-Bratsch,82.9,1909,955,954,39,199,206,8.8,44.8,46.4
6131,Bovernier,62.4,815,410,405,9,20,36,13.8,30.8,55.4
6132,Charrat,186,1415,732,683,58,168,259,12.0,34.6,53.4
6133,Fully,203,7686,3808,3878,517,341,628,34.8,22.9,42.3
