geocode	commune	famo1970	famo2000	famo7000
5471	Bettens	1.75	7.76	6
5472	Bournens	0	3.77	3.77
5473	Boussens	6.52	4.92	-1.6
5480	Daillens	2.86	8.3	5.44
5484	Gollion	1.74	2.61	0.87
5489	Mex (VD)	4.48	1.64	-2.84
5495	Penthalaz	4.64	4.33	-0.32
5496	Penthaz	4.42	4.55	0.13
5501	Sullens	5.43	3.5	-1.93
5503	Vufflens-la-Ville	3.94	5.19	1.25
5511	Assens	6.74	5.5	-1.24
5513	Bioley-Orjulaz	5.36	5.31	-0.05
5514	Bottens	4.27	3.91	-0.36
5515	Bretigny-sur-Morrens	0	8.97	8.97
5516	Cugy (VD)	3.67	5.92	2.25
5518	Echallens	4.15	6.15	2
5521	Etagnières	4.35	4.78	0.43
5522	Fey	4	5.52	1.52
5523	Froideville	3.62	5.7	2.08
5527	Morrens (VD)	5.67	4.19	-1.48
5529	Oulens-sous-Echallens	6.52	4.02	-2.5
5533	Poliez-Pittet	5	8.84	3.84
5535	Saint-Barthélemy (VD)	6.45	3.38	-3.07
5537	Villars-le-Terroir	4.93	3.59	-1.34
5540	Montilliez	5.03	6.57	1.55
5541	Goumoëns	2.54	3.72	1.18
5581	Belmont-sur-Lausanne	5.23	4.46	-0.77
5582	Cheseaux-sur-Lausanne	3.17	5.54	2.37
5583	Crissier	4.1	5.88	1.78
5584	Epalinges	3.74	6.03	2.3
5585	Jouxtens-Mézery	3.23	3.51	0.28
5586	Lausanne	5.64	6.08	0.44
5587	Le Mont-sur-Lausanne	4.7	4.93	0.23
5588	Paudex	3.49	5.27	1.78
5589	Prilly	4.76	5.04	0.29
5590	Pully	5.42	5.71	0.28
5591	Renens (VD)	4.7	5.87	1.18
5592	Romanel-sur-Lausanne	3.1	6.05	2.95
5601	Chexbres	5.26	5.18	-0.08
5604	Forel (Lavaux)	2.67	5.01	2.34
5606	Lutry	3.66	4.6	0.93
5607	Puidoux	4.68	5.15	0.47
5609	Rivaz	7.14	3.38	-3.76
5610	Saint-Saphorin (Lavaux)	1.77	4.88	3.11
5611	Savigny	3.41	4.94	1.53
5613	Bourg-en-Lavaux	3.94	5.41	1.46
5621	Aclens	4.41	6.49	2.08
5622	Bremblens	1.59	5.63	4.05
5624	Bussigny-près-Lausanne	3.22	7	3.78
5627	Chavannes-près-Renens	4.21	5.69	1.49
5628	Chigny	8.16	7.22	-0.95
5632	Denges	1.35	4.88	3.53
5633	Echandens	4.79	4.45	-0.34
5634	Echichens	4.52	3.4	-1.11
5635	Ecublens (VD)	4.17	5.39	1.22
5638	Lonay	3.98	3.45	-0.53
5639	Lully (VD)	0	6.2	6.2
5642	Morges	4.66	5.85	1.19
5643	Préverenges	4.24	5.48	1.24
5645	Romanel-sur-Morges	1.75	6.43	4.68
5646	Saint-Prex	4.15	5.12	0.97
5648	Saint-Sulpice (VD)	4.33	4.64	0.31
5649	Tolochenaz	5.36	7.51	2.15
5650	Vaux-sur-Morges	0	5.17	5.17
5651	Villars-Sainte-Croix	0	5.83	5.83
5653	Vufflens-le-Château	0	3.81	3.81
5654	Vullierens	4.9	5.39	0.49
5662	Brenles	2.38	3.64	1.26
5664	Chapelle-sur-Moudon	1.39	5.04	3.65
5665	Chavannes-sur-Moudon			
5673	Hermenches	4.92	5.31	0.39
5676	Martherenges			
5678	Moudon	3.42	5.05	1.62
5682	Peyres-Possens			
5684	Rossenges	6.67	5.56	-1.11
5688	Syens	2.7	1.89	-0.82
5692	Vucherens	6.25	5.32	-0.93
5782	Carrouge (VD)	4.38	5.99	1.61
5785	Corcelles-le-Jorat	3.64	1.19	-2.45
5788	Essertes	8.57	1.92	-6.65
5789	Ferlens (VD)	0	6.31	6.31
5790	Maracon	1.82	1.57	-0.24
5791	Mézières (VD)	2.6	8.42	5.82
5792	Montpreveyres	3.75	3.8	0.05
5798	Ropraz	7.59	2.94	-4.65
5799	Servion	8.82	5.82	-3.01
5803	Vulliens	2.38	3.21	0.82
5804	Jorat-Menthue	2.91	4.72	1.82
5805	Oron	4.81	6.19	1.38
5881	Blonay	3.83	4.93	1.1
5882	Chardonne	4.59	3.72	-0.87
5883	Corseaux	3.25	4.3	1.05
5884	Corsier-sur-Vevey	4.82	5.98	1.16
5885	Jongny	3.61	3.7	0.08
5886	Montreux	5.23	5.91	0.68
5888	Saint-Légier-La Chiésaz	4.13	5.19	1.06
5889	La Tour-de-Peilz	4.27	5.98	1.71
5890	Vevey	5.52	6.58	1.06
